Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SignIn,100,235,176,672,50.06,0.00%,0.33682,0.16,0.12,492
Add Languages,100,49,41,63,4.3,0.00%,0.33754,0.07,0.19,207
Update Languages,100,175,148,496,47.39,0.00%,0.33742,0.07,0.21,215
Remove Languages,100,47,38,90,6.87,0.00%,0.33755,0.07,0.19,199
Add Skills,100,50,40,89,5.54,0.00%,0.33755,0.07,0.2,207
Update Skills,100,171,148,363,20.22,0.00%,0.33742,0.07,0.21,207
Remove Skills,100,48,41,79,3.87,0.00%,0.33757,0.06,0.2,196
Add Educations,100,52,42,96,5.87,0.00%,0.33757,0.07,0.22,207
Update Educations,100,171,146,237,10.68,0.00%,0.33744,0.07,0.23,218
Remove Educations,100,48,37,136,9.14,0.00%,0.33759,0.07,0.2,218
Add Certifications,100,51,40,91,6.5,0.00%,0.3376,0.07,0.21,207
Remove Certifications,100,47,39,85,5.24,0.00%,0.33761,0.07,0.2,208
Add Description,100,50,41,135,9.24,0.00%,0.33761,0.07,0.23,223
Add ShareSkill,100,97,70,547,60.5,0.00%,0.33757,0.07,0.44,224
View ShareSkill,100,82,68,117,5.56,0.00%,0.3376,0.47,0.18,1418.9
Toogle Disable,100,118,101,135,5.31,0.00%,0.33756,0.06,0.19,190
Toogle Enable,100,119,106,182,9.14,0.00%,0.33773,0.06,0.19,189
Delete ShareSkill,100,160,140,190,7.03,0.00%,0.33766,0.06,0.19,196
Search Skills by categor,100,729,599,987,72.92,0.00%,0.33695,1.85,0.22,5621
TOTAL,1900,132,37,987,154.58,0.00%,6.34982,3.54,4.01,570.7
