Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SignIn,500,252,179,782,50.07,0.00%,1.66839,0.8,0.61,492
Add Languages,500,46,36,325,13.67,0.00%,1.67251,0.34,0.96,207
Update Languages,500,153,129,461,27.86,0.00%,1.67203,0.35,1.02,215
Remove Languages,500,42,33,428,18.18,0.00%,1.67422,0.33,0.96,199
Add Skills,500,46,35,355,14.95,0.00%,1.67416,0.34,1.01,207
Update Skills,500,154,133,457,24.85,0.00%,1.67348,0.34,1.06,207
Remove Skills,500,40,33,84,4.92,0.00%,1.67426,0.32,0.98,196
Add Educations,500,43,35,172,9.02,0.00%,1.67421,0.34,1.1,207
Update Educations,500,144,66,402,25.37,0.00%,1.6736,0.36,1.16,217.9
Remove Educations,500,41,34,60,3.97,0.00%,1.67421,0.36,0.97,218
Add Certifications,500,46,35,427,22.69,0.00%,1.67419,0.34,1.06,207
Remove Certifications,500,42,33,81,4.88,3.80%,1.67426,0.33,0.97,204.3
Add Description,500,44,35,288,11.99,0.00%,1.67427,0.36,1.12,223
Add ShareSkill,500,93,69,372,32.51,0.00%,1.67257,0.37,2.18,224
View ShareSkill,500,82,65,135,7.31,0.00%,1.67413,2.32,0.91,1418.9
Toogle Disable,500,117,98,361,20.76,0.00%,1.67384,0.31,0.95,190
Toogle Enable,500,114,98,166,8.61,0.00%,1.67376,0.31,0.95,189
Delete ShareSkill,500,161,135,588,28.14,0.00%,1.67334,0.32,0.96,196
Search Skills by categor,500,678,594,1252,58.84,0.00%,1.66984,9.17,1.11,5621
TOTAL,9500,123,33,1252,145.24,0.20%,31.43353,17.51,19.83,570.5
